M/F,min_pace,max_pace,mean_pace,median_pace
F,0 days 00:03:21.945637477,0 days 00:15:13.415652588,0 days 00:05:47.907992189,0 days 00:05:35.540443808
M,0 days 00:03:03.925872902,0 days 00:12:18.188976377,0 days 00:05:18.526788399,0 days 00:05:06.335997773
