Age Group,count,proportion
18–21,492,1.36
22–25,2820,7.8
26–29,4259,11.78
30–33,3783,10.46
34–37,4297,11.88
38–41,4766,13.18
42–45,4559,12.61
46–49,4193,11.6
50–53,3193,8.83
54–57,1918,5.3
58–61,1114,3.08
62–65,486,1.34
66–69,190,0.53
70–84,86,0.24
