Continent,min_officialtime,max_officialtime,mean_officialtime,median_officialtime
Africa,2.1547222222222224,5.869166666666667,3.4467612293141667,3.0819444444444444
South America,2.415,6.280555555555556,3.5981373726969443,3.5258333333333334
Oceania,2.4716666666666667,6.6177777777777775,3.795719013236944,3.6934722222222223
Europe,2.2311111111111113,6.116944444444444,3.837259946654722,3.737222222222222
North America,2.1661111111111113,10.506388888888889,3.890103241237778,3.7783333333333333
Asia,2.1744444444444446,6.63,4.068742475545277,3.9418055555555553
