M/F,min_officialtime,max_officialtime,mean_officialtime,median_officialtime
F,0 days 02:21:52,0 days 10:30:23,0 days 04:04:27.026385662,0 days 03:55:38
M,0 days 02:09:17,0 days 08:25:09,0 days 03:43:46.911664596,0 days 03:35:17
