Age,min_pace,max_pace,mean_pace,median_pace
72,0 days 00:05:00.122285850,0 days 00:08:45.058657440,0 days 00:06:46.937998218,0 days 00:06:44.201960549
73,0 days 00:05:47.967867652,0 days 00:09:03.078422015,0 days 00:06:59.414653510,0 days 00:06:48.862244492
74,0 days 00:05:07.578740157,0 days 00:08:09.640499483,0 days 00:06:46.418184468,0 days 00:06:49.483615684
75,0 days 00:05:06.957368965,0 days 00:08:15.854211405,0 days 00:06:58.804183567,0 days 00:06:51.347729261
76,0 days 00:05:06.335997773,0 days 00:08:21.446552135,0 days 00:07:00.925416258,0 days 00:07:06.882009067
77,0 days 00:05:13.171080887,0 days 00:08:41.330430287,0 days 00:07:15.319575782,0 days 00:07:05.017895490
78,0 days 00:05:40.511413346,0 days 00:09:13.020361091,0 days 00:06:52.880444868,0 days 00:06:30.842479917
79,0 days 00:05:46.725125268,0 days 00:08:18.961067366,0 days 00:06:41.139488245,0 days 00:06:32.085222301
80,0 days 00:06:01.638033882,0 days 00:08:32.009862403,0 days 00:07:02.221725124,0 days 00:06:45.444702934
81,0 days 00:06:19.657798457,0 days 00:08:43.815915056,0 days 00:07:25.026047880,0 days 00:07:36.707826294
82,0 days 00:06:07.230374612,0 days 00:08:29.524377634,0 days 00:07:39.193311063,0 days 00:08:00.009246003
83,0 days 00:06:45.134017338,0 days 00:08:10.883241867,0 days 00:07:17.031071873,0 days 00:06:55.075956414
84,0 days 00:08:38.223574325,0 days 00:08:38.223574325,0 days 00:08:38.223574325,0 days 00:08:38.223574325
