Age,min_officialtime,max_officialtime,mean_officialtime,median_officialtime
18,2.7830555555555554,6.053888888888889,4.257051971326111,4.262638888888889
19,2.4530555555555558,7.075833333333334,4.010717761556944,3.8136111111111113
20,2.3725,6.026111111111111,3.8542203282827776,3.7380555555555555
21,2.2125,6.0247222222222225,3.8842478982047224,3.7244444444444444
22,2.4544444444444444,6.025277777777778,3.9057952924391666,3.772222222222222
23,2.2625,6.046666666666667,3.807264794685833,3.65125
24,2.160277777777778,6.730277777777777,3.839150226321389,3.641111111111111
25,2.1547222222222224,7.283055555555555,3.7747556133130558,3.598611111111111
26,2.2255555555555557,6.122777777777777,3.753302288537778,3.5816666666666666
27,2.2263888888888888,6.223333333333334,3.7703553339663887,3.6019444444444444
28,2.1797222222222223,6.079166666666667,3.7373111806344443,3.5625
29,2.1727777777777777,6.064166666666667,3.7780861606622222,3.6005555555555557
30,2.1633333333333336,6.8694444444444445,3.7377050658011113,3.575277777777778
31,2.209722222222222,6.730555555555555,3.7361896508649997,3.5652777777777778
32,2.180277777777778,6.787222222222222,3.731662804171389,3.5545833333333334
33,2.221111111111111,6.63,3.738437234944722,3.5677777777777777
34,2.2944444444444443,6.076944444444444,3.719507877752222,3.57125
35,2.4194444444444443,10.506388888888889,3.7254162488658333,3.5883333333333334
36,2.3866666666666667,6.126666666666667,3.729139244363056,3.610138888888889
37,2.3644444444444446,7.008333333333334,3.7315974857683334,3.6079166666666667
38,2.473888888888889,6.208888888888889,3.7596488617375003,3.629722222222222
39,2.2116666666666664,8.390833333333333,3.788891268707778,3.6352777777777776
40,2.2125,6.289722222222222,3.7763798463788887,3.678888888888889
41,2.283333333333333,6.115,3.8015167513141663,3.6930555555555555
42,2.312222222222222,6.160555555555556,3.79864370626,3.70375
43,2.432777777777778,7.373055555555555,3.8099688496441666,3.6930555555555555
44,2.567222222222222,6.6402777777777775,3.825944255296111,3.7169444444444446
45,2.4208333333333334,6.441944444444444,3.8510066440047224,3.7830555555555554
46,2.413611111111111,7.7988888888888885,3.8478872801725004,3.7630555555555554
47,2.5972222222222223,7.7988888888888885,3.875657097081389,3.7806944444444444
48,2.461388888888889,7.970555555555555,3.8870932757525,3.8022222222222224
49,2.7169444444444446,6.775,3.926022464486111,3.82
50,2.6633333333333336,6.370277777777778,3.96325004448,3.8627777777777776
51,2.686111111111111,6.246666666666667,3.94502105566,3.859861111111111
52,2.7527777777777778,6.981388888888889,3.963991652273889,3.86875
53,2.515833333333333,8.010277777777778,3.9677524084777778,3.859722222222222
54,2.7936111111111113,6.131388888888889,4.033735170969722,3.9080555555555554
55,2.797222222222222,6.282222222222222,4.04255078125,3.9540277777777777
56,2.747777777777778,6.6177777777777775,4.063201049464166,3.9566666666666666
57,2.841111111111111,7.326944444444444,4.097273158939722,3.992777777777778
58,2.9069444444444446,6.95,4.133795232013611,4.0175
59,2.8691666666666666,6.071944444444444,4.176882402707222,4.074166666666667
60,2.7630555555555554,6.498055555555555,4.265751682871945,4.193888888888889
61,3.0280555555555555,7.858333333333333,4.243100755235,4.175277777777778
62,3.2133333333333334,8.100277777777778,4.327829071969445,4.2363888888888885
63,3.1858333333333335,6.2,4.311706662283333,4.226944444444444
64,3.316666666666667,7.648888888888889,4.369524658348055,4.285555555555556
65,3.2975,6.091388888888889,4.471297678275278,4.390555555555555
66,3.0819444444444444,7.9925,4.50730261269,4.4319444444444445
67,3.3808333333333334,6.091944444444445,4.516050290486389,4.419722222222222
68,3.1655555555555557,6.843055555555556,4.545137485970556,4.457777777777777
69,3.1597222222222223,6.7011111111111115,4.6388254593175,4.550277777777778
70,3.493888888888889,6.746944444444445,4.711257716049166,4.615833333333334
71,3.5091666666666668,6.9463888888888885,4.830687830687778,4.714722222222222
72,3.5166666666666666,6.151388888888889,4.766299283153889,4.735694444444444
73,4.076666666666667,6.358333333333333,4.912285575048611,4.791111111111111
74,3.604722222222222,5.7347222222222225,4.759888888888889,4.796111111111111
75,3.5972222222222223,5.805833333333333,4.9051353276352785,4.82
76,3.589166666666667,5.870833333333334,4.929473180076389,5.001944444444445
77,3.6644444444444444,6.107222222222222,5.098698830409166,4.979166666666667
78,3.9852777777777777,6.475833333333333,4.8350925925925,4.577222222222222
79,4.057222222222222,5.8475,4.698492063491944,4.595555555555555
80,4.236111111111111,5.998333333333333,4.946273148148056,4.750555555555556
81,4.446944444444444,6.136111111111111,5.212666666666666,5.3469444444444445
82,4.3,5.965,5.3770138888888885,5.621527777777778
83,4.744166666666667,5.748055555555555,5.117870370370278,4.8613888888888885
84,6.068611111111111,6.068611111111111,6.068611111111111,6.068611111111111
